Slug,Title,Published,1 Day,7 Days,14 Days,30 Days,90 Days,Spotify,All Time
482,482: 1 Day Apps,2025-09-29,"1,222",–,–,–,–,0,"1,308"
481,481: Hello iOS 26 & macOS 26 + Listener Questions Answered!,2025-09-22,"2,111","2,825",–,–,–,0,"2,855"
480,480: Hello iPhone 17,2025-09-15,"1,933","2,699","2,844",–,–,0,"2,855"
479,479: All in on Spec-Driven Development,2025-09-08,"1,873","2,731","2,948",–,–,0,"3,075"
478,478: macOS 26... Something is wrong here...,2025-09-01,"1,917","2,576","2,754",–,–,0,"2,899"
477,"477: From Spark, To Blazor, To Mobile, To Production in 1 Day",2025-08-25,"1,781","2,619","2,866","3,188",–,0,"3,239"
476,"476: GPT-5 Is Here, What's next?",2025-08-18,"1,830","2,534","2,776","2,937",–,0,"2,977"
475,475: We Built 6 Apps with GitHub Spark,2025-08-11,"1,905","2,511","2,701","2,974",–,0,"3,218"
474,474: Apple Intelligence for C# and .NET,2025-08-04,"1,722","2,283","2,421","2,572",–,0,"2,640"
473,473: The Catalyst for Frank's new Kitty! ,2025-07-28,"1,542","2,044","2,220","2,330",–,0,"2,400"
472,472: How I Vibe Coded a SaaS with VS Code,2025-07-21,"1,798","2,570","2,719","2,894",–,0,"3,024"
471,471: Cracking Open VS Code AI Agent Mode Code,2025-07-14,"1,887","2,495","2,695","2,851",–,0,"3,048"
470,"470: AI Assisted Coding, .NET MAUI 10, and CarPlay for Everyone",2025-07-07,551,"2,599","2,772","2,979",–,0,"3,133"
469,469: New MCP Server Features,2025-06-30,"1,723","2,293","2,455","2,582","2,723",0,"2,728"
468,"468: aspire CLI, dotnet run app.cs, C# 14 field",2025-06-23,"1,688","2,245","2,361","2,459","2,610",0,"2,626"
467,467: There was AI at WWDC 2025,2025-06-16,"2,000","2,719","2,872","2,985","3,143",0,"3,165"
466,466: When James Made Xbox Games,2025-06-09,"1,601","2,186","2,301","2,399","2,507",0,"2,531"
465,465: Learning how web development works,2025-06-02,"1,895","2,569","2,747","2,874","3,031",0,"3,075"
